Transcription Factor ID,Transcription Factor Name,Deficit,No. Search Sites,Mean Sites Per Search Gene,No. Background Sites,Mean Sites Per Background Gene,Site Representation,Mann-Whitney U,Site P-Value,Total No. Search Genes,No. Transcription Factor Search Genes,Total No. Background Genes,No. Transcription Factor Background Genes,Gene Representation,Gene P-Value,Average Log2 Proportion Bound,Log2 Enrichment,Significance Score
MA0752.1,ZNF410,0.01,0,0,1,0,Down,64194,0.997393360558627,39,0,3291,1,Down,0.999999999994679,-8.701673864937217,4.795786233520228,0.000000000002311
MA0624.1,NFATC1,0,1,0,40,0,Up,65040,0.884709255337567,39,1,3291,40,Up,0.384891348744746,-5.531748863494905,1.625861232077916,0.414661850491909
MA0720.1,Shox2,0.04,120,3.1,9010,2.7,Up,67509,0.576402382304075,39,26,3291,2557,Down,0.120405136498466,-0.46993562569985,-0.211849335828108,-0.91935498562506
MA0043.3,HLF,0.06,9,0.2,458,0.1,Up,69292.5,0.391197830130441,39,8,3291,415,Up,0.145421047048693,-2.601071361287453,0.769506908721379,0.837372732709396
MA0875.1,BARX1,0.02,64,1.6,4615,1.4,Up,71692,0.207868291476147,39,31,3291,2295,Up,0.221215024081811,-0.423218795191654,0.193435941028935,0.655185380738728
MA1117.1,RELB,0.11,9,0.2,1158,0.4,Down,69828,0.343556021534707,39,8,3291,953,Down,0.289393866240454,-2.001879130516247,-0.428877552821033,-0.538510678075842
MA0598.3,EHF,0.14,86,2.2,7343,2.2,Down,64319.5,0.980619168214374,39,30,3291,2895,Down,0.046443970344191,-0.278988055771475,-0.188110709685484,-1.333070660921646
MA0698.1,ZBTB18,0.13,20,0.5,1220,0.4,Up,73678,0.111345520116549,39,18,3291,991,Up,0.035541238213872,-1.412693951368896,0.636733137641486,1.449267445971216
MA0633.1,Twist2,0.13,100,2.6,8777,2.7,Down,67823,0.541031719907412,39,29,3291,2704,Down,0.208447925161322,-0.352260499540126,-0.137754398550272,-0.681002423375167
MA0465.2,CDX2,0.15,120,3.1,10426,3.2,Down,69525,0.370039627339238,39,30,3291,2734,Down,0.287838666652013,-0.320255773136207,-0.10557527495602,-0.540850865765528
MA0707.1,MNX1,0.08,96,2.5,8222,2.5,Down,68934,0.425227114769408,39,25,3291,2430,Down,0.198823102409414,-0.534423734917757,-0.193863342575702,-0.701533153811976
MA0826.1,OLIG1,0.07,0,0,316,0.1,Down,68718,0.446538858850445,39,0,3291,233,Down,0.109337496854499,-5.060515745442965,-2.486530005468278,-0.961230872960673
