,logFC,AveExpr,t,P.Value,adj.P.Val,B,z.std
Atp6v1e1,0.00764749,8.306918251,0.060947259,0.951401465,0.999823494,-5.367278557,0.060946942
Atp6v1f,0.027088145,6.352759841,0.214681351,0.83001826,0.999823494,-5.170585006,0.214678149
Atp6v1fnb,0.4850353,0.644441245,1.587309797,0.112806632,0.999823494,-4.411622136,1.585703294
Atp6v1g1,0.025527801,7.483169331,0.228844995,0.818993131,0.999823494,-5.115144237,0.228840186
Atp6v1g2,-0.00754666,6.97840383,-0.053341181,0.957460757,0.999823494,-5.168272743,-0.053340318
Atp6v1h,0.019988825,7.406582559,0.126178695,0.899590915,0.999823494,-5.39757905,0.12617814
Atp7a,0.20361574,5.026585077,1.425679512,0.153980412,0.999823494,-4.493721143,1.425611857
Atp7b,-0.012963792,3.502130754,-0.074676343,0.940474048,0.999823494,-5.052383335,-0.07467406
Atp8a1,0.04546984,7.691316107,0.145483791,0.884446696,0.999823494,-4.697185782,0.145334603
Atp8b1,-0.608526303,1.35972106,-1.665002191,0.096413881,0.999823494,-4.408147503,-1.662493424
Atp8b2,-0.286088811,6.586422181,-1.834125044,0.066648581,0.999823494,-4.140478426,-1.83403647
Atp8b3,0.192248828,1.799902771,0.299218583,0.764798068,0.999823494,-4.875100799,0.299186082
Atp8b4,-0.406282986,0.932513719,-0.571140804,0.57224033,0.999823494,-4.610454861,-0.56475513
Atp9a,0.066625318,8.719836877,0.190263819,0.849124263,0.999823494,-4.855431634,0.190235922
Atp9b,-0.053639204,6.649550992,-0.36727258,0.713417047,0.999823494,-5.346299253,-0.36727078
Atpaf1,0.020182689,5.3912716,0.166711038,0.86760122,0.999823494,-5.066645405,0.166706209
Atpaf2,0.088651017,4.754158509,0.698341258,0.484970335,0.999823494,-5.052386664,0.69833081
Atr,-0.007578352,4.365832413,-0.035190006,0.971935246,0.999823494,-4.805147524,-0.03518121
Atraid,-0.170814694,6.170489766,-1.503833153,0.132630622,0.999823494,-4.504053563,-1.503808731
Atrip,-0.25215283,4.043466515,-1.203683839,0.228969451,0.999823494,-4.563381782,-1.203017753
Atrn,0.045853804,7.12471597,0.108608144,0.913748497,0.999823494,-4.650799784,0.10831163
