Transcription Factor ID,Transcription Factor Name,Deficit,No. Search Sites,Mean Sites Per Search Gene,No. Background Sites,Mean Sites Per Background Gene,Site Representation,Mann-Whitney U,Site P-Value,Total No. Search Genes,No. Transcription Factor Search Genes,Total No. Background Genes,No. Transcription Factor Background Genes,Gene Representation,Gene P-Value,Average Log2 Proportion Bound,Log2 Enrichment,Significance Score
MA1646.1,OSR2,0.12,26,5.2,8099,3.5,Up,6890,0.500270333728255,5,3,2347,2246,Down,0.017418120832397,-0.357761396298696,-0.588630600561995,-1.758998701001296
MA0108.2,TBP,0.01,1,0.2,109,0,Up,6776.5,0.5490117480448,5,1,2347,105,Up,0.206083343630889,-3.175139685875046,2.601341135917811,0.685957107985535
MA0909.2,HOXD13,0.1,0,0,649,0.3,Down,7255,0.360357522056711,5,0,2347,555,Down,0.597593144954356,-2.769348979894671,-1.380165277485253,-0.223594392995823
MA0887.1,EVX1,0.01,6,1.2,1660,0.7,Up,7546,0.268501302904303,5,3,2347,759,Up,0.336901112653722,-1.140039992309373,0.97592659145936,0.472497554710261
MA0058.3,MAX,0.02,2,0.4,1688,0.7,Down,6453,0.69951134265319,5,1,2347,677,Down,0.999999999999557,-1.833650712108022,-0.081636811616238,-0.000000000000193
MA0100.3,MYB,0.01,0,0,2003,0.9,Down,9175,0.029227157847176,5,0,2347,1323,Down,0.015940841405459,-2.143099290841518,-2.632664655591559,-1.79748875896852
MA0890.1,GBX2,0.02,12,2.4,3535,1.5,Up,6774.5,0.549891183748799,5,4,2347,1407,Up,0.654032201210942,-0.513748426384265,0.44848361837856,0.184400868703337
MA0823.1,HEY1,0.04,0,0,889,0.4,Down,7037.5,0.440528455805797,5,0,2347,468,Down,0.589969113303191,-2.892217911759623,-1.134427413755348,-0.229170724413978
MA0507.1,POU2F2,0.11,1,0.2,965,0.4,Down,6672.5,0.5956394700947,5,1,2347,758,Down,0.999999999998134,-1.752186595105122,-0.244565045622038,-0.00000000000081
MA0652.1,IRF8,0.08,0,0,5,0,Down,5880,0.993425189017591,5,0,2347,5,Down,0.999999999996011,-6.09845472127057,5.278046205266542,0.000000000001733
MA1529.1,NHLH2,0.14,1,0.2,340,0.1,Up,6359,0.745928644357953,5,1,2347,257,Up,0.440926397790155,-2.531474969193348,1.314011702554415,0.355633899650858
MA1101.2,BACH2,0.11,1,0.2,185,0.1,Up,6715.5,0.576142256340216,5,1,2347,118,Up,0.228815136197571,-3.091317655779509,2.433697075726736,0.640515250203947
MA0620.3,MITF,0.12,0,0,1150,0.5,Down,7095,0.418396108131859,5,0,2347,491,Down,0.590459369011302,-2.857646727418927,-1.203569782436741,-0.228809981913799
MA0725.1,VSX1,0.08,13,2.6,3924,1.7,Up,7637.5,0.243274913791356,5,5,2347,1376,Up,0.081499533154224,-0.385060273972788,0.770120547945576,1.088844878979351
MA0770.1,HSF2,0.14,1,0.2,365,0.2,Up,6256.5,0.797610217675448,5,1,2347,304,Up,0.500969460405948,-2.410540071275473,1.072141906718663,0.300188748347198
MA0879.1,Dlx1,0.01,10,2,2432,1,Up,7376,0.320003307015841,5,3,2347,854,Up,0.361213082096658,-1.055024728722345,0.805896064285304,0.442236529179391
MA0851.1,Foxj3,0.07,2,0.4,571,0.2,Up,6922,0.486955115029866,5,2,2347,487,Up,0.278917105454699,-1.702577278827049,1.130147510154229,0.554524850464017
MA1647.1,PRDM4,0.01,3,0.6,976,0.4,Up,7189.5,0.383478822499729,5,3,2347,787,Up,0.342370590036727,-1.113925012923094,0.923696632686803,0.465503548706729
MA0644.1,ESX1,0.05,23,4.6,7298,3.1,Up,6128,0.863649902120082,5,5,2347,1865,Up,0.590126139603078,-0.165781398862178,0.331562797724357,0.229055147886085
MA0596.1,SREBF2,0.11,1,0.2,1574,0.7,Down,7701,0.226777581896196,5,1,2347,1133,Down,0.3760640560384,-1.462404942358246,-0.82412835111579,-0.424738174182404
MA0642.1,EN2,0.01,0,0,522,0.2,Down,7020,0.447395314865652,5,0,2347,461,Down,0.590060947985537,-2.903077111766331,-1.112709013741935,-0.229103127329499
MA0668.1,NEUROD2,0.15,7,1.4,2167,0.9,Up,7717,0.222749656485949,5,4,2347,982,Up,0.168273181419556,-0.773051231295076,0.967089228200183,0.773985094300972
MA0743.2,SCRT1,0.14,4,0.8,1009,0.4,Up,7522.5,0.275260325436608,5,3,2347,788,Up,0.342593300561018,-1.11300959716516,0.921865801170934,0.46522113395028
MA0726.1,VSX2,0.09,13,2.6,3621,1.5,Up,7883,0.183953043819585,5,5,2347,1313,Up,0.071405751328774,-0.418854478703752,0.837708957407505,1.14626680685468
MA1653.1,ZNF148,0.05,4,0.8,1676,0.7,Up,7340.5,0.331524197007025,5,4,2347,986,Up,0.168774054303804,-0.770120409506282,0.961227584622594,0.77269431682627
MA1578.1,VEZF1,0.01,6,1.2,3310,1.4,Down,7155.5,0.395830943081821,5,4,2347,1080,Up,0.187535646158829,-0.704466351438307,0.829919468486645,0.726916170823168
MA0442.2,SOX10,0.02,5,1,3213,1.4,Down,6651.5,0.605269468642717,5,3,2347,1679,Down,0.627214019217008,-0.567585029443166,-0.168983334273055,-0.202584243052344
MA1545.1,OVOL2,0.14,0,0,949,0.4,Down,7722.5,0.221376955034979,5,0,2347,742,Down,0.333928480170363,-2.560046922745153,-1.798769391784289,-0.476346539156586
MA1539.1,NR2F6(var.3),0.15,1,0.2,69,0,Up,6872.5,0.507632957955133,5,1,2347,67,Up,0.136546676912691,-3.497281481703224,3.245624727574165,0.864718864664067
MA0145.3,TFCP2,0.06,1,0.2,43,0,Up,6972.5,0.466337505570561,5,1,2347,24,Up,0.052071749918253,-4.228334358171034,4.707730480509788,1.283397827220194
MA0623.2,NEUROG1,0.07,4,0.8,1068,0.5,Up,6999,0.455715308177132,5,2,2347,467,Up,0.261413142846933,-1.732795205758036,1.190583364016203,0.582672581551143
MA0870.1,Sox1,0.08,0,0,9,0,Down,5890,0.988165640241128,5,0,2347,9,Down,0.999999999999163,-5.704206773867424,4.489550310460254,0.000000000000364
MA0891.1,GSC2,0.03,0,0,1782,0.8,Down,8772.5,0.055483804168373,5,0,2347,1162,Down,0.062322833299696,-2.236663030147839,-2.445537176978917,-1.205352811136947
MA0146.2,Zfx,0.15,32,6.4,14616,6.2,Up,6155,0.849678128965103,5,4,2347,2275,Down,0.145964711276043,-0.167224094383966,-0.244565045622038,-0.835752127438333
MA1592.1,ZNF274,0.14,0,0,513,0.2,Down,7000,0.455317154126552,5,0,2347,453,Down,0.590309281743826,-2.915691160324956,-1.087480916624683,-0.228920388084184
MA1643.1,NFIB,0.1,1,0.2,65,0,Up,6936,0.481190479978161,5,1,2347,38,Up,0.080269894104367,-3.902296009881188,4.055653783930095,1.095447309963547
MA0857.1,Rarb,0.12,0,0,5,0,Down,5880,0.993425189017591,5,0,2347,5,Down,0.999999999996011,-6.09845472127057,5.278046205266542,0.000000000001733
MA1141.1,FOS::JUND,0.15,9,1.8,3517,1.5,Up,7339,0.332016828499855,5,5,2347,1414,Up,0.16400053751842,-0.365416490572442,0.730832981144884,0.785154728532173
MA0687.1,SPIC,0.02,1,0.2,2,0,Up,7036,0.441114665388389,5,1,2347,2,Up,0.006366704849146,-5.874725232784958,8.000512229737634,2.196085282908001
MA1124.1,ZNF24,0.1,0,0,145,0.1,Down,6132.5,0.861318186888345,5,0,2347,106,Down,0.999999999999372,-3.960815720476298,1.002768203678001,0.000000000000273
MA0876.1,BSX,0.03,18,3.6,6945,3,Up,6407.5,0.721851692019873,5,5,2347,1951,Up,0.596848122236511,-0.133270847551093,0.266541695102185,0.224136168143921
MA0136.2,ELF5,0.08,13,2.6,6003,2.6,Up,6475.5,0.688557879858328,5,4,2347,2115,Down,0.406712924639687,-0.219816544689886,-0.139380145010198,-0.390712026241814
MA0777.1,MYBL2,0.08,0,0,9,0,Down,5890,0.988165640241128,5,0,2347,9,Down,0.999999999999163,-5.704206773867424,4.489550310460254,0.000000000000364
MA0799.1,RFX4,0.01,0,0,8,0,Down,5880,0.993425189017591,5,0,2347,5,Down,0.999999999996011,-6.09845472127057,5.278046205266542,0.000000000001733
MA1547.1,PITX2,0.02,0,0,1782,0.8,Down,8772.5,0.055483804168373,5,0,2347,1162,Down,0.062322833299696,-2.236663030147839,-2.445537176978917,-1.205352811136947
MA0515.1,Sox6,0.09,9,1.8,3813,1.6,Up,6362,0.744431846987365,5,5,2347,1838,Up,0.591647290924764,-0.17629799066892,0.352595981337841,0.227937119721073
MA0888.1,EVX2,0.01,8,1.6,2090,0.9,Up,7498,0.282429639290211,5,3,2347,821,Up,0.350959997232345,-1.083434687085378,0.862715981011369,0.454742382027938
MA0131.2,HINFP,0.09,0,0,895,0.4,Down,7555,0.265943182715818,5,0,2347,675,Down,0.330036400409391,-2.628264550926375,-1.662334135421845,-0.481438158227782
MA1494.1,HNF4A(var.2),0.12,1,0.2,51,0,Up,6913.5,0.490473190462188,5,1,2347,51,Up,0.105849152737093,-3.69243901663703,3.635939797441778,0.975312613913611
MA1478.1,DMRTA2,0.1,14,2.8,8307,3.5,Down,6648.5,0.60665085922298,5,4,2347,2189,Down,0.295513756106727,-0.195015162641735,-0.188982909106499,-0.529422297990195
MA1607.1,Foxl2,0.15,5,1,2530,1.1,Down,6293,0.779091541674525,5,2,2347,1406,Down,0.396311315284541,-0.938259564488186,-0.398487918523498,-0.401963527727675
MA0502.2,NFYB,0.13,6,1.2,1386,0.6,Up,8131,0.135654308343123,5,4,2347,948,Up,0.1650229669243,-0.798456048162323,1.017898861934676,0.782455609032349
MA1594.1,ZNF382,0,0,0,0,0,Up,5867.5,1,5,0,2347,0,Up,1,-7.828170530589217,8.73747782390384,-0
MA0518.1,Stat4,0.11,1,0.2,3197,1.4,Down,9234,0.026466072129541,5,1,2347,1636,Down,0.032168412796494,-1.197490336706257,-1.353957562419768,-1.49257036684841
MA0098.3,ETS1,0.12,1,0.2,1897,0.8,Down,7822.5,0.197468300123224,5,1,2347,1154,Down,0.374867184029671,-1.449163051341581,-0.85061213314912,-0.426122576165851
