Transcription Factor ID,Transcription Factor Name,Deficit,No. Search Sites,Mean Sites Per Search Gene,No. Background Sites,Mean Sites Per Background Gene,Site Representation,Mann-Whitney U,Site P-Value,Total No. Search Genes,No. Transcription Factor Search Genes,Total No. Background Genes,No. Transcription Factor Background Genes,Gene Representation,Gene P-Value,Average Log2 Proportion Bound,Log2 Enrichment,Significance Score
MA1506.1,HOXD10,0.05,1,0.1,17,0,Up,21750.5,0.656035977004017,13,1,3123,17,Up,0.07223451181609,-5.32479489953143,4.309739796178235,1.141255257967685
MA0498.2,MEIS1,0.01,34,2.6,10704,3.4,Down,24487,0.198660583898648,13,10,3123,2978,Down,0.020782898143442,-0.215573825103328,-0.293992508562761,-1.682293890852841
MA0773.1,MEF2D,0.11,2,0.2,126,0,Up,22631,0.474196866664242,13,2,3123,121,Up,0.08977307779468,-3.558547359117919,2.251175903683627,1.046853885139242
MA0701.2,LHX9,0.07,4,0.3,4068,1.3,Down,26719,0.048780856333864,13,3,3123,1512,Down,0.094010788205801,-1.496880483811029,-0.90130419258967,-1.026822306087424
MA0637.1,CENPB,0.15,0,0,635,0.2,Down,23933,0.264711810861469,13,0,3123,559,Down,0.142752497039001,-3.617920497876294,-2.273934008574349,-0.845416286299107
MA1468.1,ATOH7,0.14,39,3,9609,3.1,Down,22012.5,0.599016678072243,13,9,3123,2678,Down,0.102814607080566,-0.364349111282879,-0.285221754874009,-0.987945179856027
MA0689.1,TBX20,0.09,0,0,467,0.1,Down,23140,0.38325875900276,13,0,3123,437,Down,0.236560856502906,-3.795348055004646,-1.919078894317646,-0.626057116052904
MA1132.1,JUN::JUNB,0.13,15,1.2,5752,1.8,Down,26524,0.056050124185107,13,7,3123,2559,Down,0.018982192197502,-0.567649215064541,-0.560695382980817,-1.721653633621008
MA0898.1,Hmx3,0.05,1,0.1,88,0,Up,21295,0.759928718767208,13,1,3123,87,Up,0.309771160193715,-4.163830852087749,1.987811701290872,0.508959017667034
MA0616.2,HES2,0.01,1,0.1,21,0,Up,21742.5,0.657811254780841,13,1,3123,18,Up,0.076102680945647,-5.284709725189439,4.229569447494252,1.11860004363163
