,logFC,AveExpr,t,P.Value,adj.P.Val,B,z.std
Utp25,-0.046945199,4.513217775,-0.595179392,0.551731504,0.927900475,-5.125512864,-0.595167513
Utp3,0.064909254,5.222865414,0.597705378,0.550045321,0.927900475,-5.095259813,0.597692215
Vash2,0.085823525,2.868637687,0.591557104,0.554181351,0.927900475,-4.915405919,0.591506127
Vdac1,0.080284468,7.535440593,0.597687925,0.550052088,0.927900475,-5.240445505,0.597682075
Wdr35,-0.039321935,5.886759141,-0.590664419,0.554748594,0.927900475,-5.283729807,-0.590659493
Rab11fip1,-0.140208451,5.301428936,-0.588579137,0.556148999,0.927981456,-5.186231546,-0.58857114
Acp6,0.058406716,5.565231493,0.586328931,0.557658297,0.927988429,-5.258057553,0.586323269
Anapc16,0.064671327,6.677578383,0.585002435,0.558548796,0.927988429,-5.319674258,0.584998395
Ankle2,0.051605095,6.689012561,0.586998377,0.557207563,0.927988429,-5.315910633,0.586994258
Apobec4,0.486427788,-0.671007721,0.58695049,0.55762129,0.927988429,-4.70929745,0.586378349
Arf3,0.102617176,7.776806304,0.585497873,0.55821637,0.927988429,-5.273454422,0.585492854
Armh2,-0.168066005,0.99308672,-0.586466635,0.557736459,0.927988429,-4.750167101,-0.586206939
Arpc2,0.037059574,7.578874331,0.587248373,0.557039622,0.927988429,-5.321684424,0.587244333
Atf2,-0.048353329,6.756002328,-0.586124491,0.557797065,0.927988429,-5.184157634,-0.586116744
Atp10d,-0.202552867,5.036379063,-0.586319172,0.557668436,0.927988429,-5.128837572,-0.586308178
Cblb,-0.075076804,4.856136243,-0.585897699,0.557950555,0.927988429,-5.16485657,-0.585888337
Ccdc154,-0.094703018,4.277661518,-0.588233662,0.55639067,0.927988429,-5.012374416,-0.588211007
Ccdc175,-0.147258605,2.87348159,-0.588095016,0.556524115,0.927988429,-4.849276227,-0.588012184
Ciita,0.252284778,-0.182154542,0.587653292,0.557040892,0.927988429,-4.727277342,0.587242442
Cspg5,0.101975678,7.263169238,0.587330866,0.556985718,0.927988429,-5.225627664,0.587324606
CUNH7orf57,-0.095777073,2.830414717,-0.585962357,0.557967968,0.927988429,-4.828313316,-0.585862428
Dcbld2,-0.060247968,5.373859293,-0.585445166,0.558255797,0.927988429,-5.124955189,-0.585434202
Dolk,0.079103538,4.148449455,0.587511641,0.556877733,0.927988429,-4.991443801,0.58748543
