,logFC,AveExpr,t,P.Value,adj.P.Val,B,z.std
Kiaa0040,0.393069113,3.497795425,1.364431052,0.172527204,0.999972263,-4.498735841,1.364128254
Kiaa0100,0.181197586,7.931425766,1.00152736,0.316793797,0.999972263,-4.657600064,1.001068283
Kiaa0232,-0.03893411,7.352885693,-0.240782692,0.809744156,0.999972263,-4.964302645,-0.2407561
Kiaa0319,0.325390001,4.724191797,0.914656661,0.362124158,0.999972263,-4.616569507,0.911324999
Kiaa0319l,0.178459753,6.893577378,1.249100753,0.211718192,0.999972263,-4.580442304,1.248854785
Kiaa0355,-0.128470292,5.913096631,-1.432163648,0.152102649,0.999972263,-4.631497677,-1.43214388
Kiaa0391,-0.13907062,3.495584829,-0.551382242,0.581639496,0.999972263,-4.732831953,-0.550991508
Kiaa0408,-0.175416692,6.976595667,-0.944162415,0.345094965,0.999972263,-4.979189742,-0.944146158
Kiaa0513,0.089203841,6.002492642,0.666535198,0.505077242,0.999972263,-5.095731689,0.666522414
Kiaa0556,-0.067557093,6.022354674,-0.565599248,0.571668864,0.999972263,-5.300088724,-0.565595388
Kiaa0825,-0.049474876,3.941513303,-0.179442984,0.857761506,0.999972263,-4.72410071,-0.179224399
Kiaa0895,-0.050204786,3.527550205,-0.19522939,0.845341562,0.999972263,-4.747848704,-0.195065639
Kiaa0895l,-0.100013466,5.153292149,-0.537767651,0.590741781,0.999972263,-5.210355667,-0.537761405
Kiaa0930,0.06701229,6.997140468,0.403451477,0.686618861,0.999972263,-5.295093675,0.403447756
Kiaa1107,-0.193157496,5.719308942,-0.81156551,0.417054804,0.999972263,-4.972722972,-0.811541441
Kiaa1109,0.029243663,7.786768023,0.152403584,0.878907831,0.999972263,-4.844529206,0.15235388
Kiaa1143,0.085617933,4.801794649,1.117284323,0.263887013,0.999972263,-4.791576962,1.117251017
Kiaa1147,-0.009495897,5.932016464,-0.074593766,0.940538203,0.999972263,-5.464875377,-0.074593429
Kiaa1191,-0.011221023,6.963926969,-0.037537938,0.970100706,0.999972263,-4.714980004,-0.037481982
Kiaa1211l,0.266518129,4.462710401,1.317030401,0.187946625,0.999972263,-4.527276423,1.31667787
Kiaa1217,-0.285674967,5.833540708,-0.914293301,0.360566966,0.999972263,-5.098793266,-0.914285275
Kiaa1257,-0.192464906,3.156896542,-0.430657484,0.667218242,0.999972263,-4.694392676,-0.429968931
Kiaa1324,0.161231656,6.177448023,0.443598288,0.657337091,0.999972263,-5.231151311,0.443592691
Kiaa1324l,0.02165133,5.652712139,0.041374152,0.966998702,0.999972263,-5.134981525,0.041372793
Kiaa1328,-0.047732463,5.403960307,-0.352466943,0.724499515,0.999972263,-5.064892106,-0.352451726
Kiaa1522,-0.032185469,5.122306045,-0.191160247,0.848401108,0.999972263,-5.36701382,-0.191158893
Kiaa1549,0.173698586,4.989505276,1.424456358,0.154327877,0.999972263,-4.548049445,1.424409807
Kiaa1549l,0.05300722,5.100229572,0.153599682,0.877928686,0.999972263,-5.144975885,0.1535955
Kiaa1551,0.187499059,3.77004323,1.092566367,0.27460944,0.999972263,-4.744894334,1.092508993
Kiaa1586,0.09696515,4.153160251,0.821437036,0.411409804,0.999972263,-4.971950708,0.821415207
Kiaa1614,0.214738266,2.483945771,0.418534613,0.677810246,0.999972263,-4.630363433,0.415453094
Kiaa1671,0.087520596,5.994554476,0.744161322,0.456781995,0.999972263,-5.229515376,0.74415618
Kiaa1755,-0.510785691,4.400974267,-1.466867295,0.142766048,0.999972263,-4.457667175,-1.465567878
Kiaa1841,-0.242785426,5.254691034,-0.99003813,0.322173044,0.999972263,-4.851961068,-0.9900022
Kiaa1958,-0.046361219,4.121944336,-0.44740924,0.65458539,0.999972263,-5.157142457,-0.447401227
Kiaa2013,0.065295402,6.536914907,0.323329635,0.74653892,0.999972263,-4.818790523,0.323206418
Kiaa2026,-0.079410023,6.256522198,-1.205088072,0.228173832,0.999972263,-4.8805714,-1.205076342
Kidins220,-0.084601573,8.71969277,-0.420804983,0.673922807,0.999972263,-4.971243926,-0.420770319
Kif13b,0.250587305,6.299580563,0.672999165,0.500954208,0.999972263,-5.131749101,0.672989128
Kif14,0.169585878,-0.858468272,0.382570882,0.702516173,0.999972263,-4.687904906,0.381926109
Kif16b,0.24131874,4.788046282,1.04530867,0.29597985,0.999972263,-4.677617753,1.045093301
Kif17,-0.123881305,6.187814088,-1.172448803,0.241031182,0.999972263,-4.760959741,-1.172413252
Kif18a,0.248596883,0.011189867,0.385984002,0.701542345,0.999972263,-4.632630209,0.383239295
Kif19,0.237134038,4.641846767,0.860680914,0.389421902,0.999972263,-5.020165865,0.860666222
Kif1a,0.021280713,9.623971403,0.124006065,0.90131967,0.999972263,-4.983826601,0.123994449
Kif1b,0.009943861,8.788246673,0.047616007,0.962022696,0.999972263,-5.29921704,0.047615478
Kif1bp,-0.030472687,6.550392488,-0.342601809,0.731899382,0.999972263,-5.409013644,-0.342600026
Kif1c,-0.157693416,6.458819225,-1.261778866,0.20706683,0.999972263,-4.615755382,-1.261672018
Kif20a,0.109502217,4.414150687,0.505802454,0.613166715,0.999972263,-4.770136185,0.505558366
Kif20b,0.039607578,3.699239096,0.136977664,0.891082004,0.999972263,-4.836750717,0.136935215
Kif21a,-0.011181372,7.97639319,-0.190974825,0.848545981,0.999972263,-5.461300279,-0.190973977
Kif21b,-0.227458661,5.311645839,-0.647154377,0.517537847,0.999972263,-5.145908206,-0.647145396
Kif22,0.061158861,3.417106256,0.402717462,0.6871847,0.999972263,-4.925022271,0.402678571
Kif23,0.501041129,-0.897175813,1.424163815,0.15520892,0.999972263,-4.489566506,1.421371044
