Transcription Factor ID,Transcription Factor Name,Deficit,No. Search Sites,Mean Sites Per Search Gene,No. Background Sites,Mean Sites Per Background Gene,Site Representation,Mann-Whitney U,Site P-Value,Total No. Search Genes,No. Transcription Factor Search Genes,Total No. Background Genes,No. Transcription Factor Background Genes,Gene Representation,Gene P-Value,Average Log2 Proportion Bound,Log2 Enrichment,Significance Score
MA0528.2,ZNF263,0.01,11,0.6,970,0.4,Up,26681.5,0.291332336,20,9,2347,727,Up,0.223535583,-1.399865248,0.580481514,0.650653335
MA0616.2,HES2,0.03,2,0.1,131,0.1,Up,24741,0.67623025,20,2,2347,105,Up,0.227897098,-3.755717082,1.440186344,0.642261204
MA1640.1,MEIS2(var.2),0.15,17,0.9,3352,1.4,Down,30219.5,0.026576327,20,8,2347,1484,Down,0.037503995,-0.965618614,-0.608941099,-1.425922467
MA1145.1,FOSL2::JUND(var.2),0.14,3,0.2,929,0.4,Down,27123,0.230035621,20,3,2347,689,Down,0.218044265,-2.158849892,-0.782694382,-0.661455331
MA0499.2,MYOD1,0.12,51,2.6,3846,1.6,Up,31263,0.010450725,20,19,2347,1809,Up,0.061332097,-0.223841918,0.303384264,1.212312187
MA0757.1,ONECUT3,0.11,0,0,213,0.1,Down,25440,0.517448555,20,0,2347,197,Down,0.403463059,-4.464376302,-1.786351405,-0.394196223
MA0046.2,HNF1A,0.15,0,0,399,0.2,Down,26120,0.38391189,20,0,2347,265,Down,0.156251293,-4.250946698,-2.213210613,-0.80617638
MA0002.2,RUNX1,0.06,22,1.1,1748,0.7,Up,27672,0.167385935,20,14,2347,1190,Up,0.114874801,-0.739564273,0.479986528,0.93977523
MA1573.1,THAP11,0.13,0,0,196,0.1,Down,25070,0.599088053,20,0,2347,160,Down,0.393906459,-4.61401598,-1.487072049,-0.404606898
MA0760.1,ERF,0.14,3,0.2,1152,0.5,Down,29165,0.061316319,20,2,2347,817,Down,0.018185575,-2.278729216,-1.513789388,-1.740272963
MA1113.2,PBX2,0.15,16,0.8,2924,1.2,Down,29799.5,0.037554401,20,7,2347,1395,Down,0.037605872,-1.100502221,-0.700318376,-1.424744334
MA1657.1,ZNF652,0.15,4,0.2,1187,0.5,Down,28957.5,0.071383626,20,3,2347,911,Down,0.035984873,-1.95750384,-1.185386486,-1.443880026
MA1491.1,GLI3,0.15,9,0.5,846,0.4,Up,25830.5,0.43799107,20,8,2347,682,Up,0.323264871,-1.526156685,0.512135043,0.490441487
MA0728.1,Nr2f6(var.2),0.13,1,0.1,7,0,Up,24573.5,0.716920696,20,1,2347,7,Up,0.065724884,-6.031304175,4.517429343,1.182270172
MA1476.1,DLX5,0.03,16,0.8,3988,1.7,Down,29990,0.032171118,20,8,2347,1414,Down,0.07084649,-1.000461072,-0.539256182,-1.149681665
MA0674.1,NKX6-1,0.09,37,1.9,9085,3.9,Down,31960.5,0.005275272,20,13,2347,1981,Down,0.02758281,-0.423598347,-0.358132312,-1.559361495
MA0717.1,RAX2,0.02,16,0.8,3988,1.7,Down,29990,0.032171118,20,8,2347,1414,Down,0.07084649,-1.000461072,-0.539256182,-1.149681665
MA0470.2,E2F4,0.11,5,0.3,259,0.1,Up,25999,0.405999532,20,4,2347,220,Up,0.113476993,-2.7999508,1.224647594,0.94509218
MA0625.1,NFATC3,0.02,15,0.8,3324,1.4,Down,31694.5,0.006885622,20,7,2347,1708,Down,4.94E-04,-0.95452816,-0.992266499,-3.306352109
MA0627.2,POU2F3,0.15,7,0.4,1554,0.7,Down,27688,0.165774603,20,6,2347,1071,Down,0.182374382,-1.394302797,-0.525618979,-0.739036166
MA1420.1,IRF5,0.15,1,0.1,210,0.1,Down,24330,0.777506165,20,1,2347,203,Down,1,-3.650306981,-0.244565046,-2.133E-12
MA0095.2,YY1,0.12,22,1.1,2479,1.1,Up,25409.5,0.523954205,20,15,2347,1461,Up,0.353968831,-0.543515511,0.280319635,0.451034979
MA0678.1,OLIG2,0.1,0,0,783,0.3,Down,27280,0.210623567,20,0,2347,381,Down,0.060127474,-3.9894611,-2.736181809,-1.220927041
MA1496.1,HOXA4,0.14,68,3.4,14063,6,Down,31522.5,0.008149512,20,16,2347,2201,Down,0.033845012,-0.202898099,-0.220519572,-1.470505331
MA0066.1,PPARG,0.1,0,0,1,0,Down,23480,0.997378393,20,0,2347,1,Down,1,-7.984749473,5.254394937,1.214E-12
MA0041.1,Foxd3,0.11,22,1.1,3523,1.5,Down,29092,0.064714984,20,7,2347,1434,Down,0.021190771,-1.080619299,-0.740084219,-1.673853243
MA0138.2,REST,0.09,0,0,13,0,Down,23600,0.965929414,20,0,2347,13,Down,1,-6.399786972,2.084469936,1.813E-12
MA1635.1,BHLHE22(var.2),0.01,60,3,4570,1.9,Up,29550.5,0.045730607,20,16,2347,1380,Up,0.067316379,-0.539546078,0.452776385,1.171879252
MA0690.1,TBX21,0,1,0.1,10,0,Up,24543.5,0.724298246,20,1,2347,10,Up,0.089296724,-5.788590762,4.032002516,1.049164471
MA0089.2,NFE2L1,0.1,1,0.1,28,0,Up,24363.5,0.76908076,20,1,2347,28,Up,0.219289238,-5.068304466,2.591429924,0.658982681
MA0472.2,EGR2,0.09,2,0.1,84,0,Up,24986,0.618404757,20,2,2347,83,Up,0.159802571,-3.92441453,1.77758124,0.796416237
MA1542.1,OSR1,0.06,6,0.3,605,0.3,Up,24999,0.615397499,20,6,2347,532,Up,0.425809805,-1.898692007,0.483159441,0.370784343
MA0481.3,FOXP1,0.12,11,0.6,3302,1.4,Down,31275.5,0.010327843,20,11,2347,1583,Down,0.239440946,-0.70099917,-0.265981758,-0.620801581
MA1570.1,TFAP4(var.2),0.05,11,0.6,2826,1.2,Down,29255.5,0.057309459,20,5,2347,1144,Down,0.04223883,-1.46726404,-0.861712691,-1.374288121
MA0765.2,ETV5,0.01,0,0,574,0.2,Down,28130,0.125735453,20,0,2347,466,Down,0.020930759,-3.844364088,-3.026375833,-1.679215028
MA0029.1,Mecom,0.14,5,0.3,388,0.2,Up,25777.5,0.448345723,20,5,2347,347,Up,0.204307767,-2.32708033,0.857919889,0.689715124
MA0759.1,ELK3,0.11,4,0.2,1584,0.7,Down,30177,0.027543997,20,3,2347,1007,Down,0.011833928,-1.885271201,-1.329851763,-1.926871065
MA1625.1,Stat5b,0.01,1,0.1,103,0,Up,23651.5,0.952445944,20,1,2347,99,Up,0.579739282,-4.166437163,0.787695318,0.236767272
MA1620.1,Ptf1a(var.3),0.14,97,4.9,7755,3.3,Up,31692.5,0.006899244,20,20,2347,2164,Up,0.396020986,-0.058545679,0.117091357,0.4022818
MA0845.1,FOXB1,0.1,0,0,749,0.3,Down,29330,0.054176631,20,0,2347,586,Down,0.006788883,-3.679237075,-3.35662986,-2.168201656
MA0258.2,ESR2,0.14,14,0.7,1245,0.5,Up,27190,0.221601264,20,11,2347,898,Up,0.164785137,-1.109762399,0.5515447,0.783081962
MA1615.1,Plagl1,0.13,44,2.2,3360,1.4,Up,31091.5,0.012272929,20,19,2347,1550,Up,0.003861154,-0.335270709,0.526241846,2.413282877
MA1513.1,KLF15,0.01,17,0.9,1731,0.7,Up,28019,0.13500162,20,13,2347,958,Up,0.03826467,-0.947469662,0.689610318,1.417202025
MA1518.1,LHX1,0.03,16,0.8,3988,1.7,Down,29990,0.032171118,20,8,2347,1414,Down,0.07084649,-1.000461072,-0.539256182,-1.149681665
MA0764.2,ETV4,0.01,24,1.2,1867,0.8,Up,26627,0.299597807,20,12,2347,1258,Up,0.655849438,-0.806557878,0.185724127,0.183195849
MA1656.1,ZNF449,0.1,11,0.6,527,0.2,Up,29648,0.042365996,20,9,2347,453,Up,0.00821563,-1.740787597,1.262326211,2.085359146
MA0756.1,ONECUT2,0.14,2,0.1,679,0.3,Down,26761,0.279552715,20,2,2347,553,Down,0.191658513,-2.560046923,-0.951153974,-0.717471887
