Transcription Factor ID,Transcription Factor Name,Deficit,No. Search Sites,Mean Sites Per Search Gene,No. Background Sites,Mean Sites Per Background Gene,Site Representation,Mann-Whitney U,Site P-Value,Total No. Search Genes,No. Transcription Factor Search Genes,Total No. Background Genes,No. Transcription Factor Background Genes,Gene Representation,Gene P-Value,Average Log2 Proportion Bound,Log2 Enrichment,Significance Score
MA0798.2,RFX3,0.08,0,0,244,0.1,Down,31787,0.591002925740863,19,0,3123,223,Down,0.393645383537866,-4.545109506122222,-1.480585425480052,-0.404894837365076
MA0762.1,ETV2,0.15,2,0.1,1395,0.4,Down,36915,0.066038442211321,19,2,3123,1063,Down,0.029547468366129,-2.258908810289864,-1.409130627370045,-1.529479723639601
MA1142.1,FOSL1::JUND,0.14,86,4.5,14743,4.7,Down,30728,0.788118201418477,19,17,3123,3015,Down,0.141295424525684,-0.103442748311384,-0.105352907211796,-0.849871901388672
MA1525.1,NFATC4,0.05,43,2.3,6040,1.9,Up,32068,0.542748308668991,19,19,3123,2591,Up,0.059103769589207,-0.134688068090407,0.269376136180814,1.228384819294994
MA0592.3,ESRRA,0.01,2,0.1,112,0,Up,31736,0.599968049428377,19,2,3123,111,Up,0.147579207883779,-3.885761019310048,1.844573790670323,0.830974825015779
MA0868.2,SOX8,0.08,23,1.2,5152,1.6,Down,34135,0.257221847330699,19,12,3123,2285,Down,0.310018326650559,-0.546099870024501,-0.190892318126045,-0.508612632204588
MA0856.1,RXRG,0.09,0,0,12,0,Down,29782.5,0.976930401911717,19,0,3123,12,Down,0.999999999990822,-6.625246921826519,2.679689405928541,0.000000000003986
MA1421.1,TCF7L1,0.07,1,0.1,57,0,Up,30688.5,0.795839422930465,19,1,3123,57,Up,0.298852646386408,-4.731948740881116,2.063018045480046,0.524542894068461
MA1099.2,HES1,0.02,0,0,690,0.2,Down,34589.5,0.211931700183493,19,0,3123,518,Down,0.058446996713822,-3.938074927307269,-2.69465458310996,-1.23323780005603
MA0523.1,TCF7L2,0.01,2,0.1,45,0,Up,32364,0.494135394369148,19,2,3123,45,Up,0.031861182373135,-4.532313649170852,3.137679050391931,1.496738111504126
MA0675.1,NKX6-2,0.03,45,2.4,7951,2.5,Down,30854,0.763630717241164,19,18,3123,2349,Up,0.058903617854529,-0.243379307698848,0.334860908931099,1.229858030068491
MA1155.1,ZSCAN4,0.15,3,0.2,184,0.1,Up,32670.5,0.44636222660626,19,3,3123,176,Up,0.090010545420495,-3.311735369049489,1.667376144489689,1.04570660667579
